"id","user_id","img_url","title","description","price","upload_date"
"1","2","/arts/camera.png","Kamera","Toto je kamera","20","2025-02-28 15:20:19"
"2","7","/arts/abstract.png","Abstract No.45","A colorful abstract composition filled with organic shapes and dynamic flow.","150","2025-02-28 15:20:19"
"3","7","/arts/composition.png","Still life","A not so classic still life with fruit and flowers.","56","2025-02-28 15:20:19"
"4","5","/arts/raffael.png","The School of Athens","A Renaissance masterpiece by Raphael, depicting great philosophers.","50000000","2025-02-28 15:20:19"
"5","10","/arts/reflection.png","Reflection","Reflection on the water surface captured in painting.","74","2025-02-28 15:20:19"
"6","11","/arts/sunset.png","Sunset at the beach","Sun setting over a sandy beach, capturing the peaceful light.","42","2025-02-28 15:20:19"
"7","4","/arts/sunset2.png","Horizon","A minimalist landscape with a setting sun on the horizon and gentle color transitions.","176","2025-02-28 15:20:19"
"8","1","/arts/An-undirected-graph-with-7-nodes-and-7-edges.png","dd","ds","10","2025-02-28 15:33:01"
"id","user_id"
"1","1"
"2","2"
"3","3"
"4","4"
"5","5"
"6","6"
"7","7"
"8","8"
"9","9"
"10","10"
"11","11"
"12","12"
"id","cart_id","art_id"
"1","3","1"
"2","3","6"
"3","3","5"
"4","3","6"
"5","3","5"
"6","3","1"
"7","3","6"
"8","3","6"
"id","user_id","card_number","expiration_date","cvc","card_creation_date"
"13","3","6","Sunset at the beach captures a calming and peaceful atmosphere. Lovely colors!","5","2025-02-28 15:20:20"
"14","3","7","Horizon is minimalist, but it feels a bit too plain and lacks detail.","3","2025-02-28 15:20:20"
"15","4","1","The vintage camera photo has charm, yet it could benefit from a clearer focus.","4","2025-02-28 15:20:20"
"16","9","2","Abstract No.45 is colorful, but the shapes feel too disjointed.","3","2025-02-28 15:20:20"
"17","11","3","The still life is decent, but it doesnâ€™t bring anything new to the genre.","1","2025-02-28 15:20:20"
"18","6","4","Work of a genius mind.","5","2025-02-28 15:20:20"
"19","9","5","Reflection has potential, but it seems somewhat flat.","3","2025-02-28 15:20:20"
"20","11","6","Sunset at the beach is nice, though it lacks the dramatic effect I was hoping for.","4","2025-02-28 15:20:20"
"21","10","7","Horizon is calming, but it feels like it could use more visual interest.","2","2025-02-28 15:20:20"
"22","12","1","The vintage camera photo is beautiful, yet the background is a bit distracting.","4","2025-02-28 15:20:20"
"23","12","2","This abstract piece is vibrant, though the overall composition feels a bit cluttered.","2","2025-02-28 15:20:20"
"24","6","3","The still life is well-executed but lacks a bit of vibrancy.","4","2025-02-28 15:20:20"
"25","8","4","The School of Athens is undeniably a masterpiece, showcasing an impressive array of Renaissance figures. However, the density of philosophers in the composition creates an overcrowded effect that detracts from the clarity and focus of the central figures. For a work of this magnitude, a more streamlined approach would better highlight the intellectual prominence of the depicted individuals.","3","2025-02-28 15:20:20"
"26","8","7","Horizon presents a minimalist landscape with commendable use of color gradients. Nevertheless, the piece suffers from a lack of spatial complexity and visual intrigue. The horizon line, while aesthetically pleasing, is insufficiently detailed and lacks the dynamic elements that would elevate it to a higher level of artistic sophistication. Itâ€™s a passable work, but does not meet the high standards of visual engagement I seek.","1","2025-02-28 15:20:20"
"27","1","4","l","5","2025-02-28 15:33:09"
"id","username","email","password","security_question","security_answer","role"
"1","admin","admin.gallery@gallery.fei","a906449d5769fa7361d7ecc6aa3f6d28","What is your pet's name?","Max","S"
"2","Alice Bobova","alice.bobova@gallery.fei","495c6dfd597415374445c3e104646271","What was your first car?","Honda Civic","U"
"3","Bob Alicovy","bob.alicovy@gallery.fei","d796b1242dc89cedffe596d14517f2ac","What was your first car?","Toyota Corolla","U"
"4","Charlie Brown","charlie.brown@gallery.fei","f6f8b17841190e3bf66f6e9f2b3d6cd1","What is your grandmother's name?","Anna","U"
"5","David Smith","david.smith@gallery.fei","fb5ec35d77091432228fdabca7596abb","What was the name of your first school?","Spojena skola Tilgnerova","U"
"6","Eva Jones","eva.jones@gallery.fei","8b5d46821f396f8572e6e739868ab3a4","What was the name of your first school","Paneuropska sukromna zakladna skola","U"
"7","Frank Williams","frank.williams@gallery.fei","1a7fd50291c3d26152119d6deb9da7f9","What is your pet's name?","Muro","U"
"8","Sheldon Cooper","sheldon.cooper@gallery.fei","244634890f075124d2418d294d629f20","What is your pet's name?","Simona","U"
"9","George Wilson","george.wilson@gallery.fei","c6203afb6795ba949f78484e714736f7","What is your pet's name?","Bella","U"
"10","Anna Kovacova","anna.kovacova@gallery.fei","4b5987b45136a4b723c9f9cd2841a77b","What was your first car?","Skoda Felicia","U"
"11","Betty Smith","betty.smith@gallery.fei","7c9fd2c192db77dcac0e42ee3ab6576e","What is your grandmother's name?","Sofia","U"
"12","Clara Miller","clara.miller@gallery.fei","33580df0d0a32aed259814a9720d859f","What is your pet's name?","Rudolf","U"
